date, timestamp, heart rate
2019-06-13 13:41:43 +0000, 00:02:38, 109
2019-06-13 13:41:44 +0000, 00:02:39, 99
2019-06-13 13:41:45 +0000, 00:02:40, 91
2019-06-13 13:41:46 +0000, 00:02:41, 89
2019-06-13 13:41:47 +0000, 00:02:42, 89
2019-06-13 13:41:48 +0000, 00:02:43, 90
2019-06-13 13:41:49 +0000, 00:02:44, 91
2019-06-13 13:41:50 +0000, 00:02:45, 91
2019-06-13 13:41:51 +0000, 00:02:46, 91
2019-06-13 13:41:52 +0000, 00:02:47, 92
2019-06-13 13:41:53 +0000, 00:02:48, 91
2019-06-13 13:41:54 +0000, 00:02:49, 86
2019-06-13 13:41:55 +0000, 00:02:50, 84
2019-06-13 13:41:56 +0000, 00:02:51, 81
2019-06-13 13:41:57 +0000, 00:02:52, 82
2019-06-13 13:41:58 +0000, 00:02:53, 83
2019-06-13 13:41:59 +0000, 00:02:54, 84
2019-06-13 13:42:00 +0000, 00:02:55, 85
2019-06-13 13:42:01 +0000, 00:02:56, 94
2019-06-13 13:42:02 +0000, 00:02:57, 117
2019-06-13 13:42:03 +0000, 00:02:58, 121
2019-06-13 13:42:04 +0000, 00:02:59, 122
2019-06-13 13:42:05 +0000, 00:03:00, 120
2019-06-13 13:42:06 +0000, 00:03:01, 118
2019-06-13 13:42:07 +0000, 00:03:02, 105
2019-06-13 13:42:08 +0000, 00:03:03, 103
2019-06-13 13:42:09 +0000, 00:03:04, 100
2019-06-13 13:42:10 +0000, 00:03:05, 99
2019-06-13 13:42:11 +0000, 00:03:06, 97
2019-06-13 13:42:12 +0000, 00:03:07, 96
2019-06-13 13:42:13 +0000, 00:03:08, 94
2019-06-13 13:42:14 +0000, 00:03:10, 94
2019-06-13 13:42:15 +0000, 00:03:11, 94
2019-06-13 13:42:16 +0000, 00:03:12, 94
2019-06-13 13:42:17 +0000, 00:03:13, 93
2019-06-13 13:42:18 +0000, 00:03:14, 93
2019-06-13 13:42:19 +0000, 00:03:15, 93
2019-06-13 13:42:20 +0000, 00:03:16, 94
2019-06-13 13:42:21 +0000, 00:03:17, 95
2019-06-13 13:42:22 +0000, 00:03:18, 96
2019-06-13 13:42:23 +0000, 00:03:19, 97
2019-06-13 13:42:24 +0000, 00:03:20, 98
2019-06-13 13:42:25 +0000, 00:03:21, 98
2019-06-13 13:42:26 +0000, 00:03:22, 98
2019-06-13 13:42:27 +0000, 00:03:23, 98
2019-06-13 13:42:28 +0000, 00:03:24, 98
2019-06-13 13:42:29 +0000, 00:03:25, 96
