date, rr, since start
2019-06-13 13:46:22 +0000, 421, 431730
2019-06-13 13:46:22 +0000, 436, 432166
2019-06-13 13:46:22 +0000, 436, 432602
2019-06-13 13:46:23 +0000, 407, 433009
2019-06-13 13:46:23 +0000, 394, 433403
2019-06-13 13:46:23 +0000, 382, 433785
2019-06-13 13:46:24 +0000, 365, 434150
2019-06-13 13:46:24 +0000, 339, 434489
2019-06-13 13:46:24 +0000, 321, 434810
2019-06-13 13:46:25 +0000, 316, 435126
2019-06-13 13:46:25 +0000, 310, 435436
2019-06-13 13:46:25 +0000, 314, 435750
2019-06-13 13:46:26 +0000, 352, 436102
2019-06-13 13:46:26 +0000, 385, 436487
2019-06-13 13:46:26 +0000, 389, 436876
2019-06-13 13:46:27 +0000, 401, 437277
2019-06-13 13:46:27 +0000, 419, 437696
2019-06-13 13:46:28 +0000, 467, 438163
2019-06-13 13:46:28 +0000, 443, 438606
2019-06-13 13:46:29 +0000, 432, 439038
2019-06-13 13:46:29 +0000, 451, 439489
2019-06-13 13:46:31 +0000, 442, 439931
2019-06-13 13:46:31 +0000, 424, 440355
2019-06-13 13:46:31 +0000, 435, 440790
2019-06-13 13:46:31 +0000, 451, 441241
2019-06-13 13:46:31 +0000, 433, 441674
2019-06-13 13:46:32 +0000, 439, 442113
2019-06-13 13:46:32 +0000, 496, 442609
2019-06-13 13:46:33 +0000, 510, 443119
2019-06-13 13:46:33 +0000, 518, 443637
2019-06-13 13:46:34 +0000, 527, 444164
2019-06-13 13:46:34 +0000, 485, 444649
2019-06-13 13:46:35 +0000, 480, 445129
2019-06-13 13:46:35 +0000, 456, 445585
2019-06-13 13:46:36 +0000, 437, 446022
2019-06-13 13:46:36 +0000, 415, 446437
2019-06-13 13:46:36 +0000, 394, 446831
2019-06-13 13:46:37 +0000, 383, 447214
2019-06-13 13:46:37 +0000, 367, 447581
2019-06-13 13:46:37 +0000, 347, 447928
2019-06-13 13:46:38 +0000, 344, 448272
2019-06-13 13:46:38 +0000, 332, 448604
2019-06-13 13:46:38 +0000, 321, 448925
2019-06-13 13:46:39 +0000, 316, 449241
2019-06-13 13:46:39 +0000, 309, 449550
2019-06-13 13:46:39 +0000, 303, 449853
2019-06-13 13:46:40 +0000, 303, 450156
2019-06-13 13:46:40 +0000, 302, 450458
2019-06-13 13:46:40 +0000, 324, 450782
2019-06-13 13:46:41 +0000, 406, 451188
2019-06-13 13:46:41 +0000, 428, 451616
2019-06-13 13:46:42 +0000, 439, 452055
2019-06-13 13:46:42 +0000, 512, 452567
2019-06-13 13:46:43 +0000, 467, 453034
2019-06-13 13:46:43 +0000, 441, 453475
2019-06-13 13:46:44 +0000, 482, 453957
2019-06-13 13:46:44 +0000, 489, 454446
2019-06-13 13:46:45 +0000, 522, 454968
2019-06-13 13:46:45 +0000, 541, 455509
2019-06-13 13:46:46 +0000, 521, 456030
2019-06-13 13:46:46 +0000, 520, 456550
2019-06-13 13:46:47 +0000, 484, 457034
2019-06-13 13:46:47 +0000, 494, 457528
2019-06-13 13:46:48 +0000, 540, 458068
2019-06-13 13:46:48 +0000, 601, 458669
2019-06-13 13:46:49 +0000, 509, 459178
2019-06-13 13:46:49 +0000, 484, 459662
2019-06-13 13:46:50 +0000, 435, 460097
2019-06-13 13:46:50 +0000, 414, 460511
2019-06-13 13:46:51 +0000, 402, 460913
2019-06-13 13:46:52 +0000, 505, 461418
2019-06-13 13:46:52 +0000, 684, 462102
2019-06-13 13:46:53 +0000, 867, 462969
2019-06-13 13:46:54 +0000, 740, 463709
2019-06-13 13:46:55 +0000, 798, 464507
2019-06-13 13:46:55 +0000, 706, 465213
2019-06-13 13:46:56 +0000, 643, 465856
2019-06-13 13:46:57 +0000, 820, 466676
2019-06-13 13:46:57 +0000, 666, 467342
2019-06-13 13:46:58 +0000, 743, 468085
2019-06-13 13:46:59 +0000, 609, 468694
2019-06-13 13:47:00 +0000, 797, 469491
2019-06-13 13:47:00 +0000, 590, 470081
2019-06-13 13:47:01 +0000, 746, 470827
2019-06-13 13:47:02 +0000, 686, 471513
2019-06-13 13:47:02 +0000, 603, 472116
2019-06-13 13:47:03 +0000, 875, 472991
2019-06-13 13:47:04 +0000, 569, 473560
2019-06-13 13:47:04 +0000, 597, 474157
2019-06-13 13:47:05 +0000, 573, 474730
2019-06-13 13:47:06 +0000, 645, 475375
2019-06-13 13:47:06 +0000, 575, 475950
2019-06-13 13:47:07 +0000, 843, 476793
2019-06-13 13:47:07 +0000, 636, 477429
2019-06-13 13:47:08 +0000, 542, 477971
2019-06-13 13:47:08 +0000, 529, 478500
2019-06-13 13:47:10 +0000, 541, 479041
2019-06-13 13:47:10 +0000, 619, 479660
2019-06-13 13:47:11 +0000, 1029, 480689
2019-06-13 13:47:12 +0000, 630, 481319
2019-06-13 13:47:12 +0000, 891, 482210
2019-06-13 13:47:13 +0000, 655, 482865
2019-06-13 13:47:14 +0000, 699, 483564
2019-06-13 13:47:14 +0000, 703, 484267
2019-06-13 13:47:15 +0000, 726, 484993
2019-06-13 13:47:15 +0000, 547, 485540
2019-06-13 13:47:16 +0000, 482, 486022
2019-06-13 13:47:16 +0000, 452, 486474
2019-06-13 13:47:17 +0000, 433, 486907
2019-06-13 13:47:17 +0000, 416, 487323
2019-06-13 13:47:17 +0000, 410, 487733
2019-06-13 13:47:18 +0000, 449, 488182
2019-06-13 13:47:19 +0000, 470, 488652
2019-06-13 13:47:19 +0000, 545, 489197
2019-06-13 13:47:20 +0000, 543, 489740
2019-06-13 13:47:21 +0000, 574, 490314
2019-06-13 13:47:22 +0000, 526, 490840
2019-06-13 13:47:22 +0000, 1523, 492363
2019-06-13 13:47:23 +0000, 518, 492881
2019-06-13 13:47:23 +0000, 487, 493368
2019-06-13 13:47:24 +0000, 583, 493951
2019-06-13 13:47:25 +0000, 612, 494563
2019-06-13 13:47:25 +0000, 620, 495183
2019-06-13 13:47:26 +0000, 589, 495772
2019-06-13 13:47:26 +0000, 522, 496294
2019-06-13 13:47:27 +0000, 564, 496858
2019-06-13 13:47:28 +0000, 649, 497507
2019-06-13 13:47:28 +0000, 622, 498129
2019-06-13 13:47:30 +0000, 579, 498708
2019-06-13 13:47:30 +0000, 564, 499272
2019-06-13 13:47:31 +0000, 623, 499895
2019-06-13 13:47:31 +0000, 594, 500489
2019-06-13 13:47:31 +0000, 694, 501183
2019-06-13 13:47:32 +0000, 551, 501734
2019-06-13 13:47:32 +0000, 590, 502324
2019-06-13 13:47:33 +0000, 543, 502867
2019-06-13 13:47:34 +0000, 643, 503510
2019-06-13 13:47:34 +0000, 570, 504080
2019-06-13 13:47:35 +0000, 672, 504752
2019-06-13 13:47:35 +0000, 551, 505303
2019-06-13 13:47:36 +0000, 608, 505911
2019-06-13 13:47:36 +0000, 652, 506563
2019-06-13 13:47:37 +0000, 519, 507082
2019-06-13 13:47:38 +0000, 551, 507633
2019-06-13 13:47:38 +0000, 708, 508341
2019-06-13 13:47:39 +0000, 623, 508964
2019-06-13 13:47:40 +0000, 587, 509551
2019-06-13 13:47:40 +0000, 571, 510122
2019-06-13 13:47:41 +0000, 587, 510709
2019-06-13 13:47:42 +0000, 900, 511609
2019-06-13 13:47:42 +0000, 580, 512189
2019-06-13 13:47:43 +0000, 642, 512831
2019-06-13 13:47:43 +0000, 579, 513410
2019-06-13 13:47:44 +0000, 488, 513898
2019-06-13 13:47:44 +0000, 454, 514352
2019-06-13 13:47:44 +0000, 430, 514782
2019-06-13 13:47:45 +0000, 409, 515191
2019-06-13 13:47:45 +0000, 389, 515580
2019-06-13 13:47:46 +0000, 375, 515955
2019-06-13 13:47:46 +0000, 362, 516317
2019-06-13 13:47:46 +0000, 361, 516678
2019-06-13 13:47:47 +0000, 351, 517029
2019-06-13 13:47:47 +0000, 377, 517406
2019-06-13 13:47:48 +0000, 402, 517808
